glucose_HSQC,scale_9,scale_41,scale_63,scale_18,scale_34,scale_81,scale_92,scale_96,scale_77,scale_9.1,scale_41.1,scale_63.1,scale_18.1,scale_34.1,scale_81,scale_92,scale_96,scale_77
0.3565758119448745,0.7247662562859181,0.8292114705212195,0.0749045593871762,0.1084311915236534,0.0882907183189171,0.3997995252586845,0.0558579403978862,0.7460437501960998,0.0532090676558975,0.7247662562859181,0.8292114705212195,0.0749045593871762,0.1084311915236534,0.0882907183189171,0.39979952525868456,0.055857940397886253,0.7460437501960998,0.05320906765589757
0.3546489357017809,0.717847374100307,0.8398637517530035,0.0683525721575284,0.120699776611682,0.0896650796572442,0.3995191740340421,0.0649297483852089,0.7773863057532374,0.0566912020468999,0.717847374100307,0.8398637517530035,0.0683525721575284,0.120699776611682,0.0896650796572442,0.3995191740340421,0.06492974838520893,0.7773863057532374,0.05669120204689999
0.3362605017528216,0.7139631752655689,0.8204405576819498,0.0761666191408,0.120101849127482,0.0842165632547459,0.4117689271922777,0.0557043344410307,0.7964821423937787,0.0596192510027345,0.7139631752655689,0.8204405576819498,0.0761666191408,0.120101849127482,0.0842165632547459,0.4117689271922777,0.055704334441030734,0.7964821423937787,0.05961925100273458
0.3440269189372696,0.7057065736016543,0.79630854681836,0.0786333825313529,0.1247703633383974,0.0873048265205399,0.3879824359039694,0.0445313069010526,0.8404358492087107,0.0584878512948832,0.7057065736016543,0.79630854681836,0.0786333825313529,0.1247703633383974,0.0873048265205399,0.3879824359039694,0.04453130690105262,0.8404358492087107,0.058487851294883264
0.3334818321793803,0.7111814743374928,0.8127443293488169,0.0708663677369912,0.1395444005631321,0.0870577480217697,0.4179599955650993,0.0574556230756599,0.8520542722416754,0.0533015441812893,0.7111814743374928,0.8127443293488169,0.0708663677369912,0.1395444005631321,0.0870577480217697,0.4179599955650993,0.05745562307565999,0.8520542722416754,0.05330154418128937
0.3373104706141694,0.6967626050567914,0.8078367682854112,0.0798122272697452,0.1313185454962275,0.0950808920737397,0.4241745526058338,0.0509769224530636,0.8677012010250159,0.0640142302064292,0.6967626050567914,0.8078367682854112,0.0798122272697452,0.1313185454962275,0.0950808920737397,0.42417455260583387,0.05097692245306363,0.8677012010250159,0.06401423020642924
0.331437645398925,0.7013350051167534,0.8021156638131399,0.0708983990509654,0.1354223096776695,0.086640414211688,0.4279412070558526,0.0657360829440525,0.888905399667133,0.0691628330423752,0.7013350051167534,0.8021156638131399,0.0708983990509654,0.1354223096776695,0.086640414211688,0.42794120705585265,0.06573608294405255,0.888905399667133,0.06916283304237525
0.3314487921229678,0.689954500117553,0.7836386161506949,0.0774332836664642,0.1382859120339686,0.0894081420383999,0.4302141311960354,0.0521567978520317,0.9124824705422484,0.0544371011754969,0.689954500117553,0.7836386161506949,0.0774332836664642,0.1382859120339686,0.0894081420383999,0.43021413119603547,0.05215679785203176,0.9124824705422484,0.054437101175496966
0.3342110606243327,0.6740772288000308,0.7759495793455574,0.0723153148343559,0.1376250449665372,0.0961291951335406,0.4650506116702026,0.067266922808627,0.9495555450930516,0.0643975031384336,0.6740772288000308,0.7759495793455574,0.0723153148343559,0.1376250449665372,0.0961291951335406,0.4650506116702026,0.06726692280862709,0.9495555450930515,0.06439750313843363
0.3177809048654789,0.6632340646103966,0.7835474272292717,0.0708999955644064,0.1439807938451467,0.0907183685736681,0.4510818350386695,0.061178536521801,0.979541133513457,0.0460039822876967,0.6632340646103966,0.7835474272292717,0.0708999955644064,0.1439807938451467,0.0907183685736681,0.4510818350386695,0.06117853652180106,0.979541133513457,0.04600398228769671
