glucose_108,scale_9,scale_41,scale_63,scale_18,scale_34,scale_81,scale_92,scale_96,scale_77,scale_9.1,scale_41.1,scale_63.1,scale_18.1,scale_34.1,scale_81,scale_92,scale_96,scale_77
0.7690615240231745,0.4804250861114134,0.52777353682498,0.6331620166069896,0.6911966359111,0.7478593611930686,0.7039130259975098,0.7087376816533801,0.6161509772929027,0.7197146586207468,0.4782456519511424,0.5404951252204517,0.7464889066074547,0.6982173333829563,0.7595026261880888,0.7132386694494302,0.7180468348440434,0.6214690617106229,0.7286396946044331
0.7415511898632253,0.4518969275156367,0.5262993353526785,0.7685930347459357,0.6987815849126953,0.7412170386568456,0.7375368920281159,0.7520895920627675,0.6058081569954477,0.7516380091046355,0.4489487110774818,0.5391659091547953,0.8830891562871783,0.7055149389482566,0.7531198436801158,0.747077321197597,0.7614986619955614,0.6111170262717025,0.760719915054713
0.7407159189238129,0.47012095581247,0.5192142905963439,0.6889167198313704,0.722368080968169,0.7438483304643633,0.7438405609679397,0.7530166273861307,0.6461270890193078,0.7578364720001316,0.4680563527220402,0.5319536268739361,0.8004448217632771,0.7294557233562998,0.7558564870451894,0.7536927603295431,0.762827108967117,0.6514971767582074,0.7671987095004499
0.7365056690221788,0.4831260056012908,0.5136987883015679,0.6198008505257935,0.735746462405808,0.7413891082359971,0.7529413209917757,0.7589710540365314,0.6750767501912989,0.766614480591757,0.4816045999377859,0.5263638327977248,0.7299546270749949,0.7430276115674729,0.7534540335403,0.7630779794858775,0.7691283154056173,0.6804386192679979,0.7762233594851358
0.7264814085190338,0.4968258832937938,0.5060167141273157,0.5515088216728459,0.7433646654986913,0.7371894279382932,0.7592603510714963,0.7610124894352985,0.7001948153840165,0.7722650905132431,0.4962019025284748,0.518577205061562,0.6584628654056184,0.7508834063296644,0.74907042774055,0.7696801980818212,0.7715277229665027,0.7054119287204801,0.7821311805720831
0.7230567557328574,0.4835472943440871,0.5079192536340729,0.6399938089651896,0.7646980902719396,0.7431952054416223,0.7814923025586418,0.7881894660466903,0.7080993161622307,0.7941676657163901,0.4824752712590801,0.5205991588732934,0.7480715561738904,0.7722760674767601,0.7555085072818081,0.7920954399163955,0.7988023034927194,0.7136084742168067,0.8041902895642585
0.7145582944149176,0.4801934888450146,0.5057063437714763,0.6356721102763643,0.7886129884268205,0.7409879296631166,0.7974205341211322,0.8052947906150565,0.7202114767169998,0.8100135522112325,0.4791389634807823,0.5184377683464934,0.7428405793598916,0.7964282407705907,0.7534204527226954,0.8082351925418306,0.8161143630977231,0.7257990665796673,0.8202140574275165
0.7089484636765284,0.4795868139856392,0.5048043922452156,0.6262013132492616,0.8138095650593755,0.742208087552205,0.8109784395230016,0.8184217880307382,0.741998396767946,0.8236517275861208,0.4786577546262637,0.5175731006565986,0.7325900554020056,0.821880736564958,0.7548147187086847,0.8220385209491549,0.8294983580005677,0.7476942057984622,0.8340526558119457
0.7027645251359155,0.4662803394432475,0.5062328900118669,0.6990224189997064,0.8502784571230466,0.7453345856544025,0.8330816143172731,0.8445870778035154,0.7661620995301963,0.8453013071184395,0.4650243652824371,0.5191138817140326,0.8056359062300713,0.8585766756880465,0.7584182668827081,0.8443654892946952,0.8558248654330715,0.7722390503645344,0.8558757886715788
0.6900650011813142,0.4716284470095918,0.5009838938509632,0.6517407848504393,0.8808714288526415,0.73286972330798,0.8377953829513229,0.8449833755922276,0.8098114315927267,0.8496950780899908,0.4708217655050635,0.5137295286625919,0.7566490784439532,0.8895336559146259,0.7460678054580776,0.8493480646475247,0.8565630518634781,0.8160103379680204,0.8604863812736765
0.6835988380882967,0.4500271347120373,0.5056513052514682,0.7382363673437234,0.9261697155360468,0.7469238214843954,0.8669316506088747,0.8819662189290889,0.823413002644937,0.8782783286622597,0.4485297162123716,0.5186206616212999,0.8437546378727921,0.9350904160560632,0.760696284535241,0.8787021756215848,0.8936190833945135,0.8300842791705677,0.88923786978622
0.6723478997907592,0.4712388621416409,0.4958539049936254,0.6189285480746729,0.9805047643663783,0.745552447072243,0.8539487449570815,0.8567894432167704,0.8963166232315787,0.8652378464412693,0.4709120123494413,0.5084824066861537,0.7209954598395645,0.9903342713656562,0.7594200323789199,0.8660018553429185,0.86895297424966,0.9029356607843493,0.8763967187547222
0.6684813757583563,0.4469724259922555,0.5009009924950112,0.7345295466553885,1.0326532243374935,0.7457844967800253,0.8838584283551267,0.8952664009335796,0.9241170227655776,0.8946280821705499,0.4457681739869787,0.5137311222256143,0.8384288886304965,1.0426514456440763,0.7604586691308223,0.8961280087945226,0.9074808093638793,0.9314768458753451,0.9059429090285485
0.6566740357560061,0.4515660814238036,0.4963704591830757,0.6885989831523329,1.0754781921936631,0.7348077355723388,0.8853065613850548,0.8903366743819833,0.9812634175509558,0.8961999927378246,0.4508812439226389,0.5090447530137947,0.7903406930552903,1.086023476456333,0.7497239636470593,0.8978551980250016,0.9029557183019061,0.9887421822307785,0.9077197452861612
0.6509587754105215,0.440032444645828,0.4967765261601097,0.7194158133415052,1.1391439929160765,0.7430633213643721,0.9034751051419728,0.9110336288720724,1.022767263238019,0.9140273297797116,0.4390607623734225,0.509482442225142,0.8211413368833698,1.1502039246757103,0.7586379691148651,0.9162824849477244,0.9238687495852742,1.0307173657020305,0.9257293361726847
glucose_108,,,,,,,,,,,,,,,,,,
